locus_tag	ftype	length_bp	gene	EC_number	COG	product
EHACDFAM_00001	CDS	1179	rfaL			O-antigen ligase
EHACDFAM_00002	CDS	1014				hypothetical protein
EHACDFAM_00003	CDS	1056	rfaQ	2.-.-.-	COG0859	Lipopolysaccharide core heptosyltransferase RfaQ
EHACDFAM_00004	CDS	945	gspA_1		COG1442	General stress protein A
EHACDFAM_00005	CDS	993				hypothetical protein
EHACDFAM_00006	CDS	1020	gspA_2		COG1442	General stress protein A
EHACDFAM_00007	CDS	798	rfaP	2.7.1.-		Lipopolysaccharide core heptose(I) kinase RfaP
EHACDFAM_00008	CDS	1125	rfaG	2.4.-.-		Lipopolysaccharide core biosynthesis protein RfaG
EHACDFAM_00009	CDS	420	nepI		COG2814	Purine ribonucleoside efflux pump NepI
EHACDFAM_00010	CDS	294				hypothetical protein
EHACDFAM_00011	CDS	2799	dgaR			Transcriptional regulatory protein DagR
EHACDFAM_00012	CDS	426				hypothetical protein
EHACDFAM_00013	CDS	486	levE	2.7.1.202	COG3444	PTS system fructose-specific EIIB component
EHACDFAM_00014	CDS	750	agaC_1		COG3715	N-acetylgalactosamine permease IIC component 1
EHACDFAM_00015	CDS	858	manZ_1		COG3716	PTS system mannose-specific EIID component
EHACDFAM_00016	CDS	1110	dgaE_1	4.3.1.29		D-glucosaminate-6-phosphate ammonia lyase
EHACDFAM_00017	CDS	744	dgaF_1	4.1.2.14		2-dehydro-3-deoxy-phosphogluconate aldolase
EHACDFAM_00018	CDS	615	dgoA	4.1.2.21	COG0800	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
EHACDFAM_00019	CDS	903	dgoK1	2.7.1.58	COG3734	putative 2-dehydro-3-deoxygalactonokinase DgoK1
EHACDFAM_00020	CDS	1311	exuT_1			Hexuronate transporter
EHACDFAM_00021	CDS	1518	garD_1	4.2.1.42	COG2721	Galactarate dehydratase (L-threo-forming)
EHACDFAM_00022	CDS	900	yjhH	4.1.2.28	COG0329	putative 2-dehydro-3-deoxy-D-pentonate aldolase YjhH
EHACDFAM_00023	CDS	756	rhmR		COG1414	putative HTH-type transcriptional regulator RhmR
EHACDFAM_00024	CDS	453				hypothetical protein
EHACDFAM_00025	CDS	258				hypothetical protein
EHACDFAM_00026	CDS	210				hypothetical protein
EHACDFAM_00027	CDS	603				ISKra4 family transposase ISCep1
EHACDFAM_00028	CDS	375				hypothetical protein
EHACDFAM_00029	CDS	873				hypothetical protein
EHACDFAM_00030	CDS	342				hypothetical protein
EHACDFAM_00031	CDS	1353	dnaB_1	3.6.4.12	COG0305	Replicative DNA helicase
EHACDFAM_00032	CDS	159				hypothetical protein
EHACDFAM_00033	CDS	381				hypothetical protein
EHACDFAM_00034	CDS	405				hypothetical protein
EHACDFAM_00035	CDS	927	dsdC		COG0583	HTH-type transcriptional regulator DsdC
EHACDFAM_00036	CDS	1062				hypothetical protein
EHACDFAM_00037	CDS	1185	emrD			Multidrug resistance protein D
EHACDFAM_00038	CDS	834				hypothetical protein
EHACDFAM_00039	CDS	90	tisB			Small toxic protein TisB
EHACDFAM_00040	CDS	573				hypothetical protein
EHACDFAM_00041	CDS	342				hypothetical protein
EHACDFAM_00042	CDS	678	wecD	2.3.1.210	COG0454	dTDP-fucosamine acetyltransferase
EHACDFAM_00043	CDS	882	rffH	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase 2
EHACDFAM_00044	CDS	1068	rffG	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase 2
EHACDFAM_00045	CDS	1263	wecC	1.1.1.336	COG0677	UDP-N-acetyl-D-mannosamine dehydrogenase
EHACDFAM_00046	CDS	1086	wecB	5.1.3.14	COG0381	UDP-N-acetylglucosamine 2-epimerase
EHACDFAM_00047	CDS	984	wzzE		COG3765	ECA polysaccharide chain length modulation protein
EHACDFAM_00048	CDS	555				hypothetical protein
EHACDFAM_00049	CDS	261				hypothetical protein
EHACDFAM_00050	CDS	768	pdeH	3.1.4.52		Cyclic di-GMP phosphodiesterase PdeH
EHACDFAM_00051	CDS	930	kdgK_1	2.7.1.45		2-dehydro-3-deoxygluconokinase
EHACDFAM_00052	CDS	1494	yhjJ		COG0612	Protein YhjJ
EHACDFAM_00053	CDS	717	dctA		COG1301	Aerobic C4-dicarboxylate transport protein
EHACDFAM_00054	CDS	1083				hypothetical protein
EHACDFAM_00055	CDS	450				hypothetical protein
EHACDFAM_00056	CDS	588				hypothetical protein
EHACDFAM_00057	CDS	1131				hypothetical protein
EHACDFAM_00058	CDS	1437				hypothetical protein
EHACDFAM_00059	CDS	969				hypothetical protein
EHACDFAM_00060	CDS	504				hypothetical protein
EHACDFAM_00061	CDS	333				hypothetical protein
EHACDFAM_00062	CDS	423				hypothetical protein
EHACDFAM_00063	CDS	513				hypothetical protein
EHACDFAM_00064	CDS	294				hypothetical protein
EHACDFAM_00065	CDS	195				hypothetical protein
EHACDFAM_00066	CDS	312				hypothetical protein
EHACDFAM_00067	CDS	288				hypothetical protein
EHACDFAM_00068	CDS	579				hypothetical protein
EHACDFAM_00069	CDS	489				hypothetical protein
EHACDFAM_00070	CDS	819	envC		COG4942	Murein hydrolase activator EnvC
EHACDFAM_00071	CDS	966				hypothetical protein
EHACDFAM_00072	CDS	1035	arnC	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
EHACDFAM_00073	CDS	687	rfaY	2.7.1.-		Lipopolysaccharide core heptose(II) kinase RfaY
EHACDFAM_00074	CDS	1026	tdh	1.1.1.103	COG1063	L-threonine 3-dehydrogenase
EHACDFAM_00075	CDS	642	kbl	2.3.1.29	COG0156	2-amino-3-ketobutyrate coenzyme A ligase
EHACDFAM_00076	CDS	261				hypothetical protein
EHACDFAM_00077	CDS	282	ppiC	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase C
EHACDFAM_00078	CDS	1476	ilvC	1.1.1.86	COG0059	Ketol-acid reductoisomerase (NADP(+))
EHACDFAM_00079	CDS	891	oxyR_1			Hydrogen peroxide-inducible genes activator
